ID;Data_reviews;Sentiment
1;An experience youll gonna remember foreverraudafitriani April Warning SpoilersThere   way  I  describe  emotions   movie Im totally speechless I havent laughed even cried  much  Marvel movie  even   movie Im fully   emotion    many tears  joy  loss Amazing story  acting  outstanding epic action great CGI  best storytelling ever told   superhero movie amazing performance I love    Happiness sadness pure joy excitement Im gonna miss  moment   whole life  lets face    awhile movies can bring   big enthusiasm like thisIt    experience youll gonna remember  forever People  clapping laughing crying full   state emotion Itshours long   went  like  finger snapping  Thanos  now Im thinking Im actually  Quantum Realm   felt likeseconds Even though  know   story  gonna bring    still  superhero movie   left  speechless Its  just  superhero movie    thatSPOILER ALERTEven  characters   didnt like   will love    movie Like Captain Marvel I didnt like      movie   Endgame  showed  powerful  strong   capable  really  And now I kinda love  But Marvel  really  careful   line though I didnt like    line like Im  strongest  You didnt win    didnt   duh Also  gonna forget Hawkeye To  honest  Avengers I really didnt like Hawkeye  hes just  guy   arrow  just randomly showed    scene  actually hes character   BADASS Everything   need   want  hereAlso I dont get    people can  accept  Thor  fat  treat  like  joke I mean  movie might  trying  give us  message   matter  shape    can   hero  save  world To  honest I like     Thor  man  depressed  taking   responsible   missed  shot  kill Thanos  Infinity War Even though  already  killed     gonna bring back  people  Asgard Also hes God  Thunder  god sake   slap  stomach  thunder  got  abs backIm  happy   Captain America Finally     dance  Peggy  I didnt expected    see  fight  Captain America    self Also  Tony met  father really warm  heart   can see  reallife JarvisI didnt expected  tooWhen  whole superhero arrived    EPIC The whole person  theater  screaming  shocked Gives   goosebumps  still left  speechlessThis movie  absolute perfection The ending   movie     characters deserved It gives  perfect balance    pastyears Epic  perfect ending I   disappointed   This movie  completely emotional  visually stunning Now I get    Russo Brothers told us    Marvel Movie marathon  watching Endgame   movie  everything  accomplish  left behind    thisReady   whatever  takesGo watch   yourselfout offound    review    ;1
2;The End   Eraahmetkozan April After Avengers Infinity War  waited   Avengers Endgame We wondered   story  go    heroes  turn back     end  Thanos Many theories related     put forward Avengers Endgame  undoubtedly   anticipated film  recent years Normally  higher  expectation  higher  probability  disappointment But     case  Endgame Whatever youre expecting  find much    film This means   biggest concern   film  disappearedOn   hand another comparison comes  Is Endgame  successful  Infinity War We can comfortably say  Avengers Infinity War  just  beginning   story Endgame   finale   story So  shouldnt think   two films  two separate stories There   one story divided  two partsAvengers Endgame     great homage   tenyear history   Marvel Cinematic Universe The story highlights  original Avengers team Iron Man Captain America Thor Hulk Black Widow  Hawkeye    center  events No character comes  front   Of course   many characters  play  important role   story outside  original Avengers team Everyones concern   Captain Marvel   included   Marvel world overshadowed  heroes We can say   certainly   happen What  important   struggle    strong     good   This comes   fore   areas It gives good message    hero   familyOf course Avengers Endgame   critical aspects For example   threehour period necessary  terms   story It can  discussed The head   story moves much slower   rest It also drags  heroes   emotional predicament Then  tempo  rising   heavy scenes   watching  getting  meaningful The lastminutes   movie  fully action packed But  lastminutes goes  fast   dont even realize  Action  battle scenes  really successful There   even  slight distress  visual effects There  also slight logic errors   film   general  story   successful   details become meaningless  insignificant   certain pointLastly Avengers Endgame doesnt   movie end scene Because   films final    need  another scene The Marvel legend Stan Lee appears   small stage But    last surprise scene   Marvel Cinematic Universe Moreover    clue  Marvels future This makes us wonder   SpiderMan Far  Home  offound    review    ;1
3;The ending made allmovies worth itlarshoeijmans April If youre going  watch  movie avoid  spoilers even spoiler free reviewsWhich   Im  going  say anything   movie Not even  opinion All Im going  say isThe crowd applaudedtimes   movie  stood   clap  hands  This I  never witnessed   Dutch cinema Dutch crowds arent usually passionate   I checked  row  I  sitting  people  crying After  movie I  seeing people  smudged mascara Thats  I   say   movieout offound    review    ;0
4;Overall  epic conclusion  inferior  Infinity Wars pace  energy SPOILER FREESharkByteAudioProductions April This  probably  highestI  give  anmovieThere    good moments  Endgame  thats coming   long standing MCU fan growing    movies In creating  extensive  emotional journey   lot   MCU characters  absolutely succeedsEndgame ultimately   excellent conclusion  overyears  film  I feel  plots pacing  direction  really lacking  Infinity War  trimmed  fat   much  focused  energetic Granted Endgame takes risks   might   disappointment   fans   slower pace  focuses  character development  action  intense sequences The run time probably   shorter  streamlined Less cuts  motion blur  fight scenes wouldve made  easier  track fights  wellRespect   Russo Brothers  taking  direction    Endgame   really  satisfy  Infinity War  overall   entertaining movie Its   best MCU movie  I cant dispute  great conclusionout offound    review    ;1
5;Amazing    I dwell    worse  becomestheroo April Warning SpoilersI   say  first reaction walking    cinema     great Probably anYou know theres  much fan service   movie  I particularly loved  I can    day CA line  one CA  another It  almost Toy Storyenlightened Buzz  naive Buzz banterI loved Clever Hulk found Thor hilarious though  bit annoying  times  loved  references  past movies Cap swinging Mjollnir around  beautifulThe deaths   movie  also pretty surprising  I agree      balanced reviews      bizarre   much time  spent  Hawkeyedoes anyone really care   Not reallyKilling  Black Widow   surprising touch  I like many others probably felt    emotional reaction  Banners relationship     Hawkeye   one actually cares   Renner   actor just doesnt cut  much unfortunatelyThe real problem  End Game   time travel I dont know   movie franchise  ever want  deal  time travel knowing  much grief  creates Sure  try  explain everything   hilarious conversation  movies    end   just  many questions left   end   day particularly   already try  explain    Ancient OneThe  glaring one      change  past theyre changing another timeline   selfish   If Tony Stark snaps  fingers  kills Thanos  happens   original timeline If  sent Thanos  everyone back    magically know   send Gamora back   now stuck inand    meanQuill never meets Gamora What  hell Essentially erasing  entireGOTG franchise   universe If Captain America goes back  time  will inevitably change history   way  another    another timeline right So  everyone elses timeline  meant  stay     present  said  Stark   Cap end  sitting    lake  everyone elseThere  also way  many questions  new timelines createdbut perhaps   intentional    Loki TV show But    I hate    bring time travel   movie  just add stuff    make  wrap  nicely    universeAlso dont get  started   impossibly strong Thanos suddenly  without  infinity gauntlet Even WITH  IG  couldnt stop Thors Stormbringer  now without  IG can easily defeat Thor  Stormbringer AND Mjollnir Iron Man  Cap How convenientI also think Marvel made  serious mistake creating Captain Marvel    brought    convenient deus ex machina  yet doesnt really stick around  show    abilities   cant even defeat Thanos single handedly Pfft That  rich She can barely prevent Thanos  snapping  fingers yet  Infinity War Cap  able  actually hold   hand  Bizarre parallelsSo okay sure   enjoyable  watch  I just feel     many plot inconsistencies creeping  End Game There    better ways  get  infinity stones back  I think someone stupid just thought time travel   best way   itout offound    review    ;1
6;The writers got carried away  directors  reached   studio sacrificed  integrity   productPaynebyname May Warning SpoilersIve just come  watching Endgame  I must say  I  disappointedI loved Civil War  I loved Infinity War When I came    films I knew immediately    great   I wanted  see   With Endgame Im  sureI respect    prepared  show  consequences   Thanos  done   killing    quickly         stone quest hadnt  already seen Thanos    IW  felt slow  lazy Worse still    felt  selfindulgent  attempting   clever  clever sakeLike  Back   Future II considered  clever  showing  events   first film   Marty flitting around behind  scenes  ensure    still happened I know  meant   fan pleasing   really felt like  gimmick  lacking  confidence Almost like   saying Hey guys  will make  smile If  want  make  smile concentrate  maintaining  quality   product rather  directly trying  make  like youBut  trouble  messing around  timelines  bouncing around    makes  audience start asking questions   film The linearity  wed seen  IW   imminent fast approaching threat  replaced  Endgame   lack  direction  characters   earlier versions    audience  seenIn IW   shown Thanos He  written   sympathetic   least  character    audience  understand He believed        made   rounded But  Endgame  version  dispatched quickly    supplied  aThanos  isnt  character  know   just  token bad guyThis Thanos hasnt made  sacrifice  Vormire  isnt  guy   empathise  Scarlet Witch      Vision He  suddenly become  token cut  evil bad guy  needs   defeated Hell  writers even manage  forget   time loop  saying   Thanos  learnt   doesnt want  wipe outanymore     ungrateful How   know   theThanos   just literally arrived   post wipeout Universe How    time  form  opinion   previous quest  acull isnt worthyIs   case   writers  terrified    created  bad guy  people related      fear  theyd written    hole Why go   effort  creating  character  IW  suddenly kill     beginning  Endgame just   dramatic punchFor   time travelling  stone gathering wasted time  create unimportant scenes  fundamentally undermine  films  came beforeIn  opinion     better    shown  remaining Avengers preparing    Avenging  maintained  single minded linearity  IW  battling towards  reaching  post click Thanos  somehow reversing  workThe  I think   film   plot holes  frustrations manifest  Thors drinking  man child antics might   initially funny  one begins  realise    deliberately    clip  wings Likewise  Hulk  primordial desire  smash  destroy   removed  think      become  embarrassing shadow   former selfThe thing   meant   amazing   MCU   world building  inconsistencies   appearing     many  Endgame   makes  question whether  two films  written    peopleIn IW Thanos   dangerous  credible threat     infinity stones He takes  half   Avengers Strange     Guardians  Titan  smashes    takes    half  Wakanda  smashes  Yet   Stormbreaker whose creation   seen  hard earned   motivated Thor    power  take  Thanos even     full complement  Infinity StonesYet  roll forward  Endgame    literally   good guys together  one place Cap   shield Tony fully powered  Scarlet Witch pssed  vengeful Capt Marvel  can seemingly  anything  Thor wielding  Mjolnir AND Stormbreaker  Thanos NOT  possession   gauntlet yet  cant defeat himIts like  fights  IW   amazing   good guys  taking   unbeatable foe yet    now seemingly defeatable   rules   writers establishedA good example      IW  Cap   last man standing  Scarlet Witch   grabs  gauntlet You see  look  admirationrespect  Thanos face  Cap  holding open  gauntlet   punches    ground yet now  scene seems pointlessThe writers  Endgame seem    driven  undo everything    IW All  tension   sacrifice   development  Thanos discarded  well I dont know  It makes  senseIW  two incredible scenes  used  choke   When Cap appears   train station  Avengers theme kicks   Falcon  Widow take   henchman   wonderfully choreographed scene In just  one scene  shows  coming   rescue  shows  intuitively  work together   showcases  heroismLikewise  Thor creates Stormbreaker  makes  entrance  Wakanda I felt    journey  Thor    Hes   contend  loss  defeat  humiliation     redemption Here   character   earned  game changing weapon    arrives  demands  face  character  everyone else  running away  I want  punch  airBut  Endgame  feels like     corrupted We cant  Thor  dominant lets break   make   fool We cant  Thanos  complicated  relatable lets make   cut  bad guy We cant  Hulk  rage fuelled  smashing stuff  lets make   sensitive  talking stuff  We cant  Cap  stoic  heroic lets   ridiculing one    iconic lines   silly gimmicky fight    commenting   butt We cant   powerful female character   invested  look sexy AND  able  take  Thanos lets give Scarlet Witch  small part  focus  attention   female character  hasnt earnt  admiration  desire  revengeTo  honest  rules  engagement   set  well  IW    Endgame Thanos massed  ranks   Avengers   ALL   good guys showed  I  almost expecting  camera  pull away   show  fight given     obviously going    easy win   good guysAnd    big fight scene   reek   DC always manage     just throw everything   end battle  bludgeon   CGI  pyrotechnics    arent really sure   going onIn  many fights  IW  knew   going   recognised  combatants  understood  stakes   identified  geography   scene In Endgame  got one big massive fight  everything  thrown   pot    just assumed   directors     happy    flashing lightsAnd I   say  considering  Steve  Tony fell   hard   Tonys criticism  Steve   unfair  I really  hoped    just  handshake  muttering   worries  heres  shield These guys wrote  directed Civil War  created  line  fell  hard  hence I  hoped  something deeper   touching   handshakeSteve wrote Tony  letter telling     needed  hed       Iron Man bias   creep     Tony   victim   ultimate heroBut I think  biggest problem    convenient time travelling undermines everything When  franchise starts retrofitting stuff like Furys eye    space cat   hard  consider  previous storiesHavingGamorra means    evolution   saw  go   GOTGandis wasted Having Cap marry Peggy means  pain   sacrifice  seeing   Winter Soldier    suffering  Alzheimers hell even  blossoming relationship  Sharon Carter  kinda irrelevant Having seen Thor  last step away   two weaker origin films   entertainment  Ragnarok   redemption  IW leaves us now   bumbling buffoonWe know   makes Captain America      serum  makes   super soldier That   transformed   weakling   superhuman Sam Wilson    super soldier   didnt take  serum He  Falcon Now maybe   comics  becomes Cap  Bucky   super soldier Is  new Cap going  foil  evil plot   defeated   tazer   knife   chest Consider  beatings  Steve  taken   physical strength    shown  can recognise  Sam Wilson    thatIm sorry  say   Russos  dropped  ball Themselves   writers  succumbed   success   desire   engineers  political correctness  social change I thought Endgame    high soaring end  thisyear run  impressive movie entertainment    end  writers got carried away  directors  reached   studio sacrificed  integrity   product   chance  educate us  A real shame   wasted opportunityInfinity War  clearly  highlight   lastyears  even now I fear  repeated viewings will render  pointless considering   makers decided  fundamentally damage itout offound    review    ;0
7;So much potential lost CriticalThinking April After Infinity War I  huge expectations Unfortunately I think  doesnt follow  comic book     wanted  kind  closure   storyI saw  lot ofstar reviews  I  believe  majority  people like  movie   Infinity WarIm  saying  wasnt entertainment  watch   feeling    heroes  forced  fit   movie paying  big price   storyThere  moments   movie   rules    Marvel movies  broken  characters   build  hours  screen time  reduced  order  make space  othersThe story  average  best  big flawsout offound    review    ;1
8;Dug   hole  couldnt get  ofaafirules April Warning SpoilersFirst  Infinity War   greatest MCU movie ever made IMHOOf course following    never going   easy   sheer greatness   impact   snap  something   Russos just couldnt navigate  way   However plot difficulties aside   really  excuse     poor character treatment  pacing issues   hadPositivesRDJs actingNatasha  Hawkeyes last interactionsCGINegativesAbysmally poor treatment  Thor reduced   comic relief sideshowAbysmally poor treatment   HulkOne   strongest characters   MCU didnt fight   secs  thesupposedly landmark movies   MCUCompletely ruined Thanosreduced   caricature bad guy   excellently built character  IWPoor reintroduction   vanished Avengersseems    team wasnt even paid   just used  stock footage  previous movies   blink   miss appearancesWasted potential  Capt Marvelwhy introduce  character  powerful    use  forof  moviePacingall   place Could easily  trimmed  fat  achieved  much  coherent productMore   CapStark movie   Avengers movieTime travel plotholeshellloooo I  OK   main plan  stealing snapping restoring  stones Hell I  even OK  Cap getting  happy ending assuming  stays  hiding  entire life  Carters life decisions   affected   guy   basement But  soon  Thanos goes   future  dies  Uh Ohdid  just lose  entire Infinity War Maybe I   dumb  understand thisIn  end   homage   movies  characters  fine I really wanted    movie I  rush  watch  Like I   IW Sadly  couldnt deliver  timeout offound    review    ;0
9;Overhyped Infinity War  WAY BetterJMichaletos April Warning SpoilersUnpopular opinionLet  start  saying  Endgame    bad film In fact    decent film But nothing  Maybe I  expecting  masterpiece like Infinity War due    hypeThe firsthours   movie  really boring They try  build  many emotional moments   destroy    joke  next minute And   really MANY jokes  feel   placeEndgame uses  previous marvel movies  give   good story without building   Its like  writers didnt care  give us  proper story They just filled   many dramatic moments Also    action   firstminutesPlus I   like  way  treated Thor   They made   comic relief   worst way possible I wonder  Thor fans feel  watching thisThe last battle  epic  beautiful  thats  I really enjoyed The cgi  top notchAlso  way  ended Caps story meh Yeah  got   want  make people cry  give us  end   era   least   without creating dozens  plot holesThehours went  fast  I wouldnt watch    theaters I  planned  watch   leastmore timeThis    damn good Disappointededit Also    fanboys  downvote   reviews   got angry  I gave  beloved Avengers ayou  just amusing  pathetic Get  lifeout offound    review    ;1
10;Absolute Perfection End GameScore<U+2B50> ymyuseda April Absolute perfection end gameGood acting performance    characters Great cgis Truly epicperfect ending   long journey  marvel movie Go see   wont regret itPerfection Marvel Endgame  offound    review    ;1
